size,trial,seed,particles,momentum_x,momentum_y,initial_density_equal,initial_hamming,swap_cell_a,swap_direction_a,swap_cell_b,swap_direction_b,base_period,perturbed_period,pair_period_lcm,same_exact_cycle,first_micro_growth,first_density_difference,first_half_saturation,max_hamming_2000,mean_hamming_1001_2000,mean_normalized_damage_1001_2000,max_density_l1_2000,mean_density_l1_1001_2000,exact_reconvergence_observed
7,25,2026141825,14,0,0,True,4,19,E,46,S,,,,,2,1,,10,6.988,0.24957142857142858,10,6.13,False
7,26,2026141826,14,0,0,True,4,12,N,20,S,,,,,3,1,,6,5,0.17857142857142858,6,4.284,False
7,27,2026141827,14,0,0,True,4,13,S,28,W,,,,,2,1,6,24,16.142,0.5765,22,13.152,False
7,28,2026141828,14,0,0,True,4,10,S,37,N,,,,,14,1,41,26,16.444,0.5872857142857143,26,13.368,False
7,29,2026141829,14,0,0,True,4,7,N,12,S,,,,,14,1,17,26,18.812,0.6718571428571429,24,15.35,False
7,30,2026141830,14,0,0,True,4,17,E,42,S,,,,,13,1,,6,4.67,0.1667857142857143,6,3.814,False
7,31,2026141831,14,0,0,True,4,27,S,45,E,,,,,3,1,27,24,14.416,0.5148571428571429,22,11.868,False
7,32,2026141832,14,0,0,True,4,27,N,44,E,,,,,3,1,11,26,17.748,0.6338571428571429,24,14.448,False
7,33,2026141833,14,0,0,True,4,32,W,43,S,,,,,3,1,,6,5,0.17857142857142858,6,4.428,False
7,34,2026141834,14,0,0,True,4,6,E,15,S,,,,,2,1,10,20,13.668,0.4881428571428571,20,11.5,False
7,35,2026141835,14,0,0,True,4,11,N,17,W,,,,,2,1,22,18,13.208,0.4717142857142857,18,11.136,False
7,36,2026141836,14,0,0,True,4,12,N,39,S,,,,,5,1,61,24,15.822,0.5650714285714286,24,12.876,False
7,37,2026141837,14,0,0,True,4,14,N,16,W,,,,,2,1,,10,7.764,0.2772857142857143,10,6.836,False
7,38,2026141838,14,0,0,True,4,18,E,35,N,,,,,14,1,37,14,9.124,0.3258571428571429,14,7.508,False
7,39,2026141839,14,0,0,True,4,5,E,31,N,,,,,5,1,9,22,14.248,0.5088571428571428,20,11.728,False
7,40,2026141840,14,0,0,True,4,12,E,13,N,,,,,2,1,63,16,11.242,0.4015,16,9.778,False
7,41,2026141841,14,0,0,True,4,11,E,26,W,,,,,2,1,,10,6.988,0.24957142857142858,10,6.276,False
7,42,2026141842,14,0,0,True,4,27,N,42,E,,,,,4,1,11,22,14.26,0.5092857142857142,20,11.756,False
7,43,2026141843,14,0,0,True,4,10,N,13,E,,,,,23,1,37,22,11.292,0.4032857142857143,20,9.636,False
7,44,2026141844,14,0,0,True,4,0,S,15,N,,,,,9,1,,10,6.994,0.24978571428571428,10,5.902,False
7,45,2026141845,14,0,0,True,4,31,W,42,E,,,,,7,1,23,16,9.214,0.32907142857142857,16,8,False
7,46,2026141846,14,0,0,True,4,25,N,26,W,,,,,12,1,55,20,11.846,0.4230714285714286,20,9.314,False
7,47,2026141847,14,0,0,True,4,18,W,31,E,,,,,4,1,10,26,18.068,0.6452857142857144,26,14.558,False
7,48,2026141848,14,0,0,True,4,7,N,45,S,,,,,5,1,39,24,15.534,0.5547857142857143,22,12.85,False
7,49,2026141849,14,0,0,True,4,10,W,24,N,,,,,21,1,28,28,18.652,0.6661428571428571,26,15.212,False
