step,time,base_positions,base_velocities,perturbed_positions,perturbed_velocities,position_torus_l1,positions_exactly_equal,complete_states_equal
95,19/4,11/20|9/10|19/20|2/5,2/5|3/5|-2/5|-1/5,1/2|19/20|19/20|2/5,3/5|-2/5|2/5|-1/5,1/10,False,False
96,24/5,57/100|93/100|93/100|39/100,2/5|-2/5|3/5|-1/5,53/100|93/100|97/100|39/100,3/5|-2/5|2/5|-1/5,2/25,False,False
97,97/20,59/100|91/100|24/25|19/50,2/5|-2/5|3/5|-1/5,14/25|91/100|99/100|19/50,3/5|-2/5|2/5|-1/5,3/50,False,False
98,49/10,61/100|89/100|99/100|37/100,2/5|-2/5|3/5|-1/5,59/100|89/100|1/100|37/100,3/5|-2/5|2/5|-1/5,1/25,False,False
99,99/20,63/100|87/100|1/50|9/25,2/5|-2/5|3/5|-1/5,31/50|87/100|3/100|9/25,3/5|-2/5|2/5|-1/5,1/50,False,False
100,5,13/20|17/20|1/20|7/20,2/5|-2/5|3/5|-1/5,13/20|17/20|1/20|7/20,3/5|-2/5|2/5|-1/5,0,True,False
101,101/20,67/100|83/100|2/25|17/50,2/5|-2/5|3/5|-1/5,17/25|83/100|7/100|17/50,3/5|-2/5|2/5|-1/5,1/50,False,False
102,51/10,69/100|81/100|11/100|33/100,2/5|-2/5|3/5|-1/5,71/100|81/100|9/100|33/100,3/5|-2/5|2/5|-1/5,1/25,False,False
103,103/20,71/100|79/100|7/50|8/25,2/5|-2/5|3/5|-1/5,37/50|79/100|11/100|8/25,3/5|-2/5|2/5|-1/5,3/50,False,False
104,26/5,73/100|77/100|17/100|31/100,2/5|-2/5|3/5|-1/5,77/100|77/100|13/100|31/100,-2/5|3/5|2/5|-1/5,2/25,False,False
105,21/4,3/4|3/4|1/5|3/10,-2/5|2/5|3/5|-1/5,3/4|4/5|3/20|3/10,-2/5|3/5|2/5|-1/5,1/10,False,False
106,53/10,73/100|77/100|23/100|29/100,-2/5|2/5|3/5|-1/5,73/100|83/100|17/100|29/100,-2/5|3/5|2/5|-1/5,3/25,False,False
107,107/20,71/100|79/100|13/50|7/25,-2/5|2/5|3/5|-1/5,71/100|43/50|19/100|7/25,-2/5|3/5|2/5|-1/5,7/50,False,False
108,27/5,69/100|81/100|27/100|29/100,-2/5|2/5|-1/5|3/5,69/100|89/100|21/100|27/100,-2/5|3/5|2/5|-1/5,4/25,False,False
109,109/20,67/100|83/100|13/50|8/25,-2/5|2/5|-1/5|3/5,67/100|23/25|23/100|13/50,-2/5|3/5|2/5|-1/5,9/50,False,False
110,11/2,13/20|17/20|1/4|7/20,-2/5|2/5|-1/5|3/5,13/20|19/20|1/4|1/4,-2/5|3/5|-1/5|2/5,1/5,False,False
111,111/20,63/100|87/100|6/25|19/50,-2/5|2/5|-1/5|3/5,63/100|49/50|6/25|27/100,-2/5|3/5|-1/5|2/5,11/50,False,False
112,28/5,61/100|89/100|23/100|41/100,-2/5|2/5|-1/5|3/5,61/100|1/100|23/100|29/100,-2/5|3/5|-1/5|2/5,6/25,False,False
113,113/20,59/100|91/100|11/50|11/25,-2/5|2/5|-1/5|3/5,59/100|1/25|11/50|31/100,-2/5|3/5|-1/5|2/5,13/50,False,False
114,57/10,57/100|93/100|21/100|47/100,-2/5|2/5|-1/5|3/5,57/100|7/100|21/100|33/100,-2/5|3/5|-1/5|2/5,7/25,False,False
115,23/4,11/20|19/20|1/5|1/2,-2/5|2/5|-1/5|3/5,11/20|1/10|1/5|7/20,-2/5|3/5|-1/5|2/5,3/10,False,False
116,29/5,53/100|97/100|19/100|53/100,3/5|2/5|-1/5|-2/5,53/100|13/100|19/100|37/100,-2/5|3/5|-1/5|2/5,8/25,False,False
117,117/20,14/25|99/100|9/50|51/100,3/5|2/5|-1/5|-2/5,51/100|4/25|9/50|39/100,-2/5|3/5|-1/5|2/5,17/50,False,False
118,59/10,59/100|1/100|17/100|49/100,3/5|2/5|-1/5|-2/5,49/100|17/100|19/100|41/100,-2/5|-1/5|3/5|2/5,9/25,False,False
119,119/20,31/50|3/100|4/25|47/100,3/5|2/5|-1/5|-2/5,47/100|4/25|11/50|43/100,-2/5|-1/5|3/5|2/5,19/50,False,False
120,6,13/20|1/20|3/20|9/20,3/5|2/5|-1/5|-2/5,9/20|3/20|1/4|9/20,2/5|-1/5|3/5|-2/5,2/5,False,False
121,121/20,17/25|7/100|7/50|43/100,3/5|2/5|-1/5|-2/5,47/100|7/50|7/25|43/100,2/5|-1/5|3/5|-2/5,21/50,False,False
122,61/10,71/100|9/100|13/100|41/100,3/5|2/5|-1/5|-2/5,49/100|13/100|31/100|41/100,2/5|-1/5|3/5|-2/5,11/25,False,False
123,123/20,37/50|11/100|3/25|39/100,3/5|2/5|-1/5|-2/5,51/100|3/25|17/50|39/100,2/5|-1/5|3/5|-2/5,23/50,False,False
124,31/5,77/100|11/100|13/100|37/100,3/5|-1/5|2/5|-2/5,53/100|11/100|37/100|37/100,2/5|-1/5|-2/5|3/5,12/25,False,False
125,25/4,4/5|1/10|3/20|7/20,3/5|-1/5|2/5|-2/5,11/20|1/10|7/20|2/5,2/5|-1/5|-2/5|3/5,1/2,False,False
126,63/10,83/100|9/100|17/100|33/100,3/5|-1/5|2/5|-2/5,57/100|9/100|33/100|43/100,2/5|-1/5|-2/5|3/5,13/25,False,False
127,127/20,43/50|2/25|19/100|31/100,3/5|-1/5|2/5|-2/5,59/100|2/25|31/100|23/50,2/5|-1/5|-2/5|3/5,27/50,False,False
128,32/5,89/100|7/100|21/100|29/100,3/5|-1/5|2/5|-2/5,61/100|7/100|29/100|49/100,2/5|-1/5|-2/5|3/5,14/25,False,False
129,129/20,23/25|3/50|23/100|27/100,3/5|-1/5|2/5|-2/5,63/100|3/50|27/100|13/25,2/5|-1/5|-2/5|3/5,29/50,False,False
130,13/2,19/20|1/20|1/4|1/4,3/5|-1/5|-2/5|2/5,13/20|1/20|1/4|11/20,2/5|-1/5|-2/5|3/5,3/5,False,False
131,131/20,49/50|1/25|23/100|27/100,3/5|-1/5|-2/5|2/5,67/100|1/25|23/100|29/50,2/5|-1/5|-2/5|3/5,31/50,False,False
132,33/5,1/100|3/100|21/100|29/100,3/5|-1/5|-2/5|2/5,69/100|3/100|21/100|61/100,2/5|-1/5|-2/5|3/5,16/25,False,False
133,133/20,1/50|1/25|19/100|31/100,-1/5|3/5|-2/5|2/5,71/100|1/50|19/100|16/25,2/5|-1/5|-2/5|3/5,33/50,False,False
134,67/10,1/100|7/100|17/100|33/100,-1/5|3/5|-2/5|2/5,73/100|1/100|17/100|67/100,2/5|-1/5|-2/5|3/5,17/25,False,False
135,27/4,0|1/10|3/20|7/20,-1/5|3/5|-2/5|2/5,3/4|0|3/20|7/10,2/5|-1/5|-2/5|3/5,7/10,False,False
136,34/5,99/100|13/100|13/100|37/100,-1/5|-2/5|3/5|2/5,77/100|99/100|13/100|73/100,2/5|-1/5|-2/5|3/5,18/25,False,False
137,137/20,49/50|11/100|4/25|39/100,-1/5|-2/5|3/5|2/5,79/100|49/50|11/100|19/25,2/5|-1/5|-2/5|3/5,37/50,False,False
138,69/10,97/100|9/100|19/100|41/100,-1/5|-2/5|3/5|2/5,81/100|97/100|9/100|79/100,2/5|-1/5|-2/5|3/5,19/25,False,False
139,139/20,24/25|7/100|11/50|43/100,-1/5|-2/5|3/5|2/5,83/100|24/25|7/100|41/50,2/5|-1/5|-2/5|3/5,39/50,False,False
140,7,19/20|1/20|1/4|9/20,-1/5|-2/5|3/5|2/5,17/20|19/20|1/20|17/20,3/5|-1/5|-2/5|2/5,4/5,False,False
141,141/20,47/50|3/100|7/25|47/100,-1/5|-2/5|3/5|2/5,22/25|47/50|3/100|87/100,3/5|-1/5|-2/5|2/5,4/5,False,False
142,71/10,93/100|1/100|31/100|49/100,-1/5|-2/5|3/5|2/5,91/100|93/100|1/100|89/100,3/5|-1/5|-2/5|2/5,4/5,False,False
143,143/20,23/25|99/100|17/50|51/100,-1/5|-2/5|3/5|2/5,23/25|47/50|99/100|91/100,-1/5|3/5|-2/5|2/5,4/5,False,False
144,36/5,91/100|97/100|37/100|53/100,-1/5|-2/5|3/5|2/5,93/100|97/100|97/100|91/100,2/5|-2/5|3/5|-1/5,4/5,False,False
