seed,period,log10_period,brent_evaluations,analytic_period_divisor,initial_collision_sites,mean_collision_sites_30,max_collision_sites_30,nonzero_collision_steps_30,mean_step_hamming_30,unique_density_frames_31,collision_t0,collision_t1,collision_t2,collision_t3,collision_t4,collision_t5,collision_t6,collision_t7,collision_t8,collision_t9,collision_t10,collision_t11,collision_t12,collision_t13,collision_t14,collision_t15,collision_t16,collision_t17,collision_t18,collision_t19,collision_t20,collision_t21,collision_t22,collision_t23,collision_t24,collision_t25,collision_t26,collision_t27,collision_t28,collision_t29,hamming_t0,hamming_t1,hamming_t2,hamming_t3,hamming_t4,hamming_t5,hamming_t6,hamming_t7,hamming_t8,hamming_t9,hamming_t10,hamming_t11,hamming_t12,hamming_t13,hamming_t14,hamming_t15,hamming_t16,hamming_t17,hamming_t18,hamming_t19,hamming_t20,hamming_t21,hamming_t22,hamming_t23,hamming_t24,hamming_t25,hamming_t26,hamming_t27,hamming_t28,hamming_t29
880481,5775,3.761551988564,13966,5,0,1.066666666667,3,21,24.933333333333,31,0,1,2,1,0,1,1,1,2,0,0,2,0,2,0,3,0,1,1,1,2,3,0,1,1,1,2,0,1,2,26,26,26,24,26,26,26,26,26,24,24,24,26,22,24,22,26,24,26,24,24,22,24,24,28,28,28,24,22,26
880482,7445,3.871864702088,15636,5,2,1.066666666667,3,26,25.600000000000,31,2,1,1,1,1,1,1,2,1,1,1,0,2,0,1,1,0,1,1,2,1,1,3,1,0,1,1,1,1,1,24,26,24,26,26,24,24,24,24,26,28,26,26,26,26,26,26,26,26,24,22,24,28,28,26,26,26,26,26,28
880483,10645,4.027145665774,27028,5,1,1.233333333333,4,25,24.333333333333,31,1,4,1,1,2,0,1,0,1,1,0,4,1,1,1,1,3,1,2,1,0,1,2,1,1,2,1,1,1,0,24,24,22,22,26,26,26,28,28,24,24,26,22,22,22,22,20,22,24,24,26,26,26,24,22,24,24,26,26,28
880484,885,2.946943270698,1908,5,0,0.433333333333,2,12,22.066666666667,27,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,2,20,22,24,24,24,22,22,22,24,24,24,24,24,22,22,24,22,22,22,22,22,22,20,18,20,20,22,20,20,22
880485,175,2.243038048686,430,5,0,0.533333333333,2,13,22.466666666667,28,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,2,1,0,0,0,2,0,0,0,0,2,24,24,20,20,22,22,22,24,24,22,22,22,22,22,22,22,22,20,18,22,24,24,24,24,24,24,24,24,24,20
880486,2740,3.437750562820,6835,5,2,1.166666666667,3,21,25.866666666667,31,2,2,1,0,2,2,0,2,1,0,2,1,2,0,2,1,0,2,1,3,0,1,0,0,2,0,1,1,1,3,24,28,24,24,26,22,26,26,28,28,28,28,26,24,26,26,26,24,28,24,26,26,26,26,28,28,26,28,24,22
880487,40,1.602059991328,103,5,0,0.433333333333,2,10,25.266666666667,27,0,0,0,2,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,2,0,26,26,26,26,24,24,26,24,24,24,26,26,26,26,26,24,24,26,26,26,26,24,24,24,26,26,26,26,26,24
880488,1970,3.294466226162,4017,5,1,0.966666666667,3,21,26.466666666667,30,1,2,0,1,1,3,1,1,0,1,1,0,1,0,2,1,2,0,0,1,1,3,1,1,0,0,2,0,1,1,28,26,26,28,26,26,28,26,26,28,28,28,28,28,26,26,26,28,28,28,26,24,24,24,26,26,26,26,26,24
880489,2775,3.443262987459,6870,5,1,0.966666666667,2,19,25.666666666667,31,1,2,1,0,1,1,2,2,0,2,0,1,0,0,2,0,2,2,0,1,0,0,2,0,2,0,2,1,1,1,26,26,26,26,28,26,26,24,24,26,28,28,28,28,26,24,24,24,24,26,26,26,24,24,22,24,28,26,26,26
880490,2095,3.321184027302,6190,5,0,0.866666666667,2,17,25.733333333333,30,0,2,1,0,2,1,1,0,0,2,0,1,0,0,2,1,1,0,0,2,0,2,2,2,1,0,0,0,2,1,26,24,22,24,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,24,24,26,24,28,28,28,28,26,26
880491,12650,4.102090525512,29033,5,1,1.266666666667,3,26,24.000000000000,31,1,2,2,0,1,1,3,2,1,2,0,2,0,1,1,1,2,2,1,2,1,2,1,1,1,1,0,1,1,2,22,24,26,22,22,22,24,22,22,22,22,22,26,26,26,28,24,24,24,22,24,22,22,24,28,28,28,26,24,22
880492,485,2.685741738602,996,5,0,0.600000000000,2,15,25.066666666667,31,0,1,0,1,0,1,0,0,1,2,0,1,1,0,0,1,2,0,0,1,2,0,0,1,1,0,0,1,0,1,26,26,26,26,26,26,26,26,26,24,22,22,26,26,26,26,26,24,24,26,26,24,24,26,24,24,24,24,24,26
880493,35,1.544068044350,98,5,0,0.333333333333,1,10,23.466666666667,26,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,24,24,24,24,24,24,24,24,22,22,22,24,22,22,22,24,24,24,24,24,24,24,24,24,24,22,22,24,24,24
880494,4500,3.653212513775,12691,5,1,0.766666666667,2,19,23.933333333333,30,1,1,2,2,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,2,1,0,2,0,1,0,1,18,16,18,24,24,24,26,24,24,22,24,24,28,28,28,28,28,24,24,26,24,22,26,22,22,24,26,24,24,22
880495,29410,4.468495024507,62177,5,1,1.133333333333,3,23,24.666666666667,31,1,2,1,0,3,0,1,1,1,2,0,3,1,0,1,1,2,2,0,2,1,1,0,1,2,1,2,1,0,1,24,26,22,24,24,26,26,28,28,26,24,26,24,22,22,24,26,26,26,24,26,24,24,24,22,20,26,24,26,26
880496,2105,3.323252100172,6200,5,2,0.900000000000,2,20,23.800000000000,31,2,0,1,1,0,2,1,1,0,0,2,1,0,0,2,1,2,0,1,1,1,1,0,2,1,1,0,2,0,1,20,22,22,22,22,24,24,26,24,24,26,26,24,24,24,24,24,24,24,26,26,24,24,24,24,22,22,22,24,26
880497,16490,4.217220655645,49257,5,0,1.166666666667,4,18,25.533333333333,31,0,2,1,2,2,1,2,1,2,0,0,0,1,3,1,0,3,1,0,0,0,4,0,3,0,0,2,0,2,2,28,28,24,24,26,28,26,24,24,26,26,26,26,26,22,22,24,26,28,28,28,26,20,22,26,26,28,28,26,24
880498,75,1.875061263392,202,5,1,0.733333333333,2,19,23.466666666667,31,1,1,1,0,1,2,0,0,0,1,1,0,1,1,1,0,0,0,1,2,2,1,0,1,1,1,1,0,0,1,22,24,24,22,22,24,24,24,24,24,22,22,20,24,26,26,26,26,24,22,22,20,22,22,22,24,26,24,24,26
880499,35,1.544068044350,98,5,2,0.566666666667,2,12,22.200000000000,29,2,0,0,0,2,1,1,0,0,1,2,0,1,0,0,2,0,0,1,0,1,0,0,1,0,2,0,0,0,0,24,22,22,22,22,22,22,24,24,24,20,20,20,20,20,24,22,22,24,24,24,24,24,22,20,20,22,22,22,22
