pair_id,cycle_id,cycle,phase,state_encoding,state_masks,reversed_state_encoding,reversed_state_masks,density_encoding,density,successor_encoding,next_state_masks,predecessor_encoding,previous_state_masks,velocity_reversal_partner_cycle,velocity_reversal_partner_phase,observation_reversal_shift,least_period,collision_sites
6,P06-B,B,0,401020080,0 8 0 0 2 0 1 0 4,104080020,0 2 0 0 8 0 4 0 1,010/010/101,0 1 0 0 1 0 1 0 1,000201408,8 0 4 1 0 2 0 0 0,000402801,1 0 8 2 0 4 0 0 0,A,0,0,3,0
6,P06-B,B,1,000201408,8 0 4 1 0 2 0 0 0,000804102,2 0 1 4 0 8 0 0 0,101/101/000,1 0 1 1 0 1 0 0 0,000402801,1 0 8 2 0 4 0 0 0,401020080,0 8 0 0 2 0 1 0 4,A,2,0,3,0
6,P06-B,B,2,000402801,1 0 8 2 0 4 0 0 0,000108204,4 0 2 8 0 1 0 0 0,101/101/000,1 0 1 1 0 1 0 0 0,401020080,0 8 0 0 2 0 1 0 4,000201408,8 0 4 1 0 2 0 0 0,A,1,0,3,0
7,P07-A,A,0,080401020,0 2 0 1 0 4 0 8 0,020104080,0 8 0 4 0 1 0 2 0,010/101/010,0 1 0 1 0 1 0 1 0,408000201,1 0 2 0 0 0 8 0 4,801000402,2 0 4 0 0 0 1 0 8,B,0,0,3,0
7,P07-A,A,1,408000201,1 0 2 0 0 0 8 0 4,102000804,4 0 8 0 0 0 2 0 1,101/000/101,1 0 1 0 0 0 1 0 1,801000402,2 0 4 0 0 0 1 0 8,080401020,0 2 0 1 0 4 0 8 0,B,2,0,3,0
7,P07-A,A,2,801000402,2 0 4 0 0 0 1 0 8,204000108,8 0 1 0 0 0 4 0 2,101/000/101,1 0 1 0 0 0 1 0 1,080401020,0 2 0 1 0 4 0 8 0,408000201,1 0 2 0 0 0 8 0 4,B,1,0,3,0
7,P07-B,B,0,020104080,0 8 0 4 0 1 0 2 0,080401020,0 2 0 1 0 4 0 8 0,010/101/010,0 1 0 1 0 1 0 1 0,204000108,8 0 1 0 0 0 4 0 2,102000804,4 0 8 0 0 0 2 0 1,A,0,0,3,0
7,P07-B,B,1,204000108,8 0 1 0 0 0 4 0 2,801000402,2 0 4 0 0 0 1 0 8,101/000/101,1 0 1 0 0 0 1 0 1,102000804,4 0 8 0 0 0 2 0 1,020104080,0 8 0 4 0 1 0 2 0,A,2,0,3,0
7,P07-B,B,2,102000804,4 0 8 0 0 0 2 0 1,408000201,1 0 2 0 0 0 8 0 4,101/000/101,1 0 1 0 0 0 1 0 1,020104080,0 8 0 4 0 1 0 2 0,204000108,8 0 1 0 0 0 4 0 2,A,1,0,3,0
8,P08-A,A,0,420000810,0 1 8 0 0 0 0 2 4,180000240,0 4 2 0 0 0 0 8 1,011/000/011,0 1 1 0 0 0 0 1 1,210000480,0 8 4 0 0 0 0 1 2,002410008,8 0 0 0 1 4 2 0 0,B,1,1,3,0
8,P08-A,A,1,210000480,0 8 4 0 0 0 0 1 2,840000120,0 2 1 0 0 0 0 4 8,011/000/011,0 1 1 0 0 0 0 1 1,002410008,8 0 0 0 1 4 2 0 0,420000810,0 1 8 0 0 0 0 2 4,B,0,1,3,0
8,P08-A,A,2,002410008,8 0 0 0 1 4 2 0 0,008140002,2 0 0 0 4 1 8 0 0,100/011/100,1 0 0 0 1 1 1 0 0,420000810,0 1 8 0 0 0 0 2 4,210000480,0 8 4 0 0 0 0 1 2,B,2,1,3,0
8,P08-B,B,0,840000120,0 2 1 0 0 0 0 4 8,210000480,0 8 4 0 0 0 0 1 2,011/000/011,0 1 1 0 0 0 0 1 1,180000240,0 4 2 0 0 0 0 8 1,008140002,2 0 0 0 4 1 8 0 0,A,1,1,3,0
8,P08-B,B,1,180000240,0 4 2 0 0 0 0 8 1,420000810,0 1 8 0 0 0 0 2 4,011/000/011,0 1 1 0 0 0 0 1 1,008140002,2 0 0 0 4 1 8 0 0,840000120,0 2 1 0 0 0 0 4 8,A,0,1,3,0
8,P08-B,B,2,008140002,2 0 0 0 4 1 8 0 0,002410008,8 0 0 0 1 4 2 0 0,100/011/100,1 0 0 0 1 1 1 0 0,840000120,0 2 1 0 0 0 0 4 8,180000240,0 4 2 0 0 0 0 8 1,A,2,1,3,0
9,P09-A,A,0,000810420,0 2 4 0 1 8 0 0 0,000240180,0 8 1 0 4 2 0 0 0,011/011/000,0 1 1 0 1 1 0 0 0,000480210,0 1 2 0 8 4 0 0 0,410008002,2 0 0 8 0 0 0 1 4,B,1,1,3,0
9,P09-A,A,1,000480210,0 1 2 0 8 4 0 0 0,000120840,0 4 8 0 2 1 0 0 0,011/011/000,0 1 1 0 1 1 0 0 0,410008002,2 0 0 8 0 0 0 1 4,000810420,0 2 4 0 1 8 0 0 0,B,0,1,3,0
9,P09-A,A,2,410008002,2 0 0 8 0 0 0 1 4,140002008,8 0 0 2 0 0 0 4 1,100/100/011,1 0 0 1 0 0 0 1 1,000810420,0 2 4 0 1 8 0 0 0,000480210,0 1 2 0 8 4 0 0 0,B,2,1,3,0
9,P09-B,B,0,000120840,0 4 8 0 2 1 0 0 0,000480210,0 1 2 0 8 4 0 0 0,011/011/000,0 1 1 0 1 1 0 0 0,000240180,0 8 1 0 4 2 0 0 0,140002008,8 0 0 2 0 0 0 4 1,A,1,1,3,0
9,P09-B,B,1,000240180,0 8 1 0 4 2 0 0 0,000810420,0 2 4 0 1 8 0 0 0,011/011/000,0 1 1 0 1 1 0 0 0,140002008,8 0 0 2 0 0 0 4 1,000120840,0 4 8 0 2 1 0 0 0,A,0,1,3,0
9,P09-B,B,2,140002008,8 0 0 2 0 0 0 4 1,410008002,2 0 0 8 0 0 0 1 4,100/100/011,1 0 0 1 0 0 0 1 1,000120840,0 4 8 0 2 1 0 0 0,000240180,0 8 1 0 4 2 0 0 0,A,2,1,3,0
